title,author,date,views,likes,link
Don't Be a Jerk to Your Barista — and Other Thoughts on Frontline Work,Adriann Negreros,January 2024,26601,632,https://www.youtube.com/watch?v=WaE2IlpO4vQ
The Vital Data You Flush Down the Toilet,Newsha Ghaeli,January 2024,59889,1357,https://www.youtube.com/watch?v=XqRMV8ICMiM
What’s Your Leadership Language?,Rosita Najmi,January 2024,72593,1433,https://www.youtube.com/watch?v=3DdSiJB8Bo0
Life Is Hard. Art Helps,Liana Finck,January 2024,87633,3632,https://www.youtube.com/watch?v=HYkMo0hi-Yw
Why You Should Embrace Mediocrity,Crispin Thurlow,January 2024,85187,2966,https://www.youtube.com/watch?v=AxxMiihvKgg
"""Hey Look Ma, I Made It"" / ""Believer""",Detroit Youth Choir,December 2023,40300,737,https://www.youtube.com/watch?v=SR5BYiwJZfw
What Happens As We Die?,Kathryn Mannix,December 2023,585924,14424,https://www.youtube.com/watch?v=v9f6twy70iM
"When AI Can Fake Reality, Who Can You Trust?",Sam Gregory,December 2023,125442,2880,https://www.youtube.com/watch?v=Hnjr7o-HNx8
How to Build a Global Pro-Democracy Movement,Yordanos Eyoel,December 2023,42416,961,https://www.youtube.com/watch?v=qjGmzBp2fFk
Why Businesses Need a Dreamer’s Magic and a Doer’s Realism,Beth Viner,December 2023,86888,1730,https://www.youtube.com/watch?v=x92AnU6MUr0
My Mission to Change the Narrative of Mental Health,Glenn Close,December 2023,47882,1219,https://www.youtube.com/watch?v=G5UT0K_NEig
Time Is Running Out on Climate Change. The Metaverse Could Help,Cedrik Neike,December 2023,40959,837,https://www.youtube.com/watch?v=870tYRNh86o
Why AI Will Spark Exponential Economic Growth,Cathie Wood,December 2023,417109,8401,https://www.youtube.com/watch?v=rQEh7d-qa38
How Acts of Kindness Sparked a Global Movement,Asha Curran,December 2023,142103,3404,https://www.youtube.com/watch?v=YdTKcdyIYkA
AI’s Single Point of Failure,Rob Toews,December 2023,220746,6208,https://www.youtube.com/watch?v=AJGrdtKT3LM
How Stress Drains Your Brain — and What To Do About It,Nicole Byers,December 2023,176132,4593,https://www.youtube.com/watch?v=LrtlmbkvvEs
What Will Happen to Marketing in the Age of AI?,Jessica Apotheker,December 2023,332734,6642,https://www.youtube.com/watch?v=3MwMII8n1qM
TED Explores: A New Climate Vision | TED Countdown,Unknown,December 2023,37467,823,https://www.youtube.com/watch?v=oF7UMeVQxHk
Can AI Catch What Doctors Miss?,Eric Topol,December 2023,141127,4110,https://www.youtube.com/watch?v=ll5LY7wI_Xc
How to Stop the Next Pandemic? Stop Deforestation,Neil Vora,December 2023,33625,856,https://www.youtube.com/watch?v=VFRzeYCk8MI
The Transformative Potential of AGI — and When It Might Arrive,Shane Legg and Chris Anderson,December 2023,201443,4190,https://www.youtube.com/watch?v=kMUdrUP-QCs
How to Find Humor in Life's Absurdity,Maira Kalman,December 2023,54664,2021,https://www.youtube.com/watch?v=o8Hg5TtT-OQ
A Playbook for Financing Climate Solutions,Nili Gilbert and David Blood,December 2023,21763,386,https://www.youtube.com/watch?v=2ohQatXCS2Y
Democracy Works — We Just Need Better Leaders,Lindiwe Mazibuko,December 2023,32718,791,https://www.youtube.com/watch?v=TiyBdAvnLCw
The Science Behind How Sickness Shapes Your Mood,Keely Muscatell,December 2023,85177,2020,https://www.youtube.com/watch?v=zIXuLsXwsWs
"How to Harness Abundant, Clean Energy for 10 Billion People",Julio Friedmann,December 2023,105448,2666,https://www.youtube.com/watch?v=bwEIqjU2qgk
Can We Hack Photosynthesis to Feed the World?,Steve Long,November 2023,43296,969,https://www.youtube.com/watch?v=s_gjrvhPKt0
Life on the Frontlines of War Reporting,Jane Ferguson,November 2023,42052,865,https://www.youtube.com/watch?v=Wwje8jDjm5Q
The Case for a New Great Migration in the US,Charles M. Blow,November 2023,36062,826,https://www.youtube.com/watch?v=HJtbtEn0-uk
"Meet Methane, the Invisible Climate Villain",Marcelo Mena,November 2023,28005,584,https://www.youtube.com/watch?v=HWj54Wt7uY4
Why You Shouldn’t Trust Boredom,Kevin H. Gary,November 2023,87021,2513,https://www.youtube.com/watch?v=k_Xr0oGW_h4
A Crash Course in Making Political Change,Katie Fahey,November 2023,61633,1342,https://www.youtube.com/watch?v=oIAQcvewgTg
